Subject Area Name,Subject Acronym,Class Number,Class Name
Geography,GEOG ,184,Environmental Modeling
Geography,GEOG ,C194A,Research Group Seminars: Issues in Biophysical Geography
Geography,GEOG ,M205,Spatial Statistics
Geography,GEOG ,208,Geographic Data Visualization and Analysis
Geography,GEOG ,M224,International Migration
Geography,GEOG ,M230B,Globalization and Regional Development
Geography,GEOG ,236,Seminar: Cultural Geography
German ,,1,Elementary German
German ,,2,Elementary German
German ,,3,Elementary German
German ,,4,Intermediate German
German ,,5,Intermediate German
German ,,6,Intermediate German
German ,,103,German Film in Cultural Context: Early German Film
German ,,110,Special Topics in Modern Literature and Culture: Lecture 1  
German ,,112,Feminist Issues in German Literature and Culture
German ,,159,German Cultural Studies
German ,,174,Advanced Study of Contemporary Literature and Culture: Lecture 1  
German ,,191C,Capstone Seminar
German ,,261,Seminar: Contemporary Literature: Seminar 1  
German ,,375,Teaching Apprentice Practicum
German ,,596,Directed Individual Study or Research
German ,,597,Preparation for MA Comprehensive Examination or PhD Qualifying Examinations
German ,,598,Research for and Preparation of MA Thesis
German ,,599,Research for and Preparation of PhD Dissertation
Greek ,,3,Elementary Greek
Greek ,,8C,Elementary Modern Greek
Greek ,,9C,Intermediate Modern Greek
Greek ,,104,Sophocles
Greek ,,123,Aristotle: Poetics and Rhetoric
Greek ,,200B,History of Greek Literature
Greek ,,205,Aeschylus
Greek ,,596,Directed Individual Study or Research
Greek ,,597,Study for MA Comprehensive Examination or PhD Qualifying Examinations
Greek ,,599,Research for PhD Dissertation
Honors Collegium,HNRS ,19,COVID-19: Anything but Zoom--Kindness and Connection
Honors Collegium,HNRS ,19,Mental Illness and Movies
Honors Collegium,HNRS ,21W,Rise and Fall of Modernism
Honors Collegium,HNRS ,27,Varied Mathematics
Honors Collegium,HNRS ,37W,Sampling and Remix: Aesthetics and Politics of Cultural Appropriation
Honors Collegium,HNRS ,50,Creating Your Roadmap
Honors Collegium,HNRS ,65W,Body-Mind Literacy
Honors Collegium,HNRS ,70A,"Genetic Engineering in Medicine, Agriculture, and Law"
Honors Collegium,HNRS ,86,Psychology of Fear
Honors Collegium,HNRS ,88SA,"Past, Present, and Future of Standardized Testing in University of California Admissions"
Honors Collegium,HNRS ,88SB,Mindhunter: Profiling and Serial Killers
Honors Collegium,HNRS ,101B,UCLA Undergraduate Science Journal
Honors Collegium,HNRS ,101C,UCLA Undergraduate Journal for Humanities and Social Sciences
Honors Collegium,HNRS ,101D,Counseling Multicultural Communities
Honors Collegium,HNRS ,101F,Integrity in Research
Honors Collegium,HNRS ,101J,Mellon Mays Research Seminar
Honors Collegium,HNRS ,101K,"Preparing for Post-UCLA Success: Fellowships, Graduate School, and More"
Honors Collegium,HNRS ,101L,"Research Revealed: Humanities, Arts, and Social Sciences"
Honors Collegium,HNRS ,M123,Philanthropy as Civic Engagement
Honors Collegium,HNRS ,130,"Speeding the Cure: Activists, Experts, and Health Care"
Honors Collegium,HNRS ,132,New Women and Activism from America to Asia
Honors Collegium,HNRS ,136,"Art, Entertainment, and Social Change"
Honors Collegium,HNRS ,138,"Empire, Bordercrossing and Multiethnic Storytelling"
Honors Collegium,HNRS ,144,International Development: Using Your Major For Doing Well and Doing Good
Honors Collegium,HNRS ,146,Imagining Global Climate Change
Hebrew ,,1C,Elementary Hebrew
Hebrew ,,102C,Intermediate Hebrew
Hebrew ,,220,Studies in Hebrew Biblical Literature: Seminar 1  
Hebrew ,,596,Directed Individual Study
Hebrew ,,597,Examination Preparation
Hebrew ,,599,PhD Dissertation Research and Preparation
Hungarian,HNGAR ,102C,Advanced Hungarian
History,HIST ,3C,History of Science: 20th Century
History,HIST ,8C,Latin American Social History
History,HIST ,12C,Inequality: Global History of Anti-Colonial Thought and Struggle
History,HIST ,13C,History of the U.S. and Its Colonial Origins: 20th Century
History,HIST ,14,"Atlantic World, 1492 to 1830"
History,HIST ,22,"Contemporary World History, 1760 to Present"
History,HIST ,88S,"Wuthering Heights: Layered Narratives of Revenge, Passion, and Suffering"
History,HIST ,96W,Introduction to Historical Practice: Seminar 1  
History,HIST ,96W,Introduction to Historical Practice: Seminar 2  
History,HIST ,96W,Introduction to Historical Practice: Seminar 3  
History,HIST ,96W,Introduction to Historical Practice: Seminar 4  
History,HIST ,96W,Introduction to Historical Practice: Seminar 5  
History,HIST ,96W,Introduction to Historical Practice: Seminar 6  
History,HIST ,97C,Introduction to Historical Practice: Variable Topics in European History: Seminar 1  
History,HIST ,105C,"Survey of Middle East, 500 to Present: 1700 to Present"
History,HIST ,107B,"Armenian History: Armenia from Cilician Kingdom through Periods of Foreign Domination and National Stirrings, 11th to 19th Centuries"
History,HIST ,107C,"Armenian History: Armenia in Modern and Contemporary Times, 19th and 20th Centuries"
History,HIST ,109B,"History of Israeli-Palestinian Conflict, 1881 to Present"
History,HIST ,M110C,Iranian Civilization: History of Early Sasanian Empire--From Ardashir I to Rise of Peroz (circa 224-459 CE)
History,HIST ,115,Topics in Ancient History: Comedy and the City
History,HIST ,116A,Byzantine History
History,HIST ,124C,"History of France: Making of Modern France, 1871 to Present"
History,HIST ,127D,History of Russia: Culture and Society in Imperial Russia
History,HIST ,130,History of European Political Thought
History,HIST ,132,"Topics in European History: Interwar Crisis: Europe, 1918 to 1939"
Indonesian,INDO ,3,Introductory Indonesian
Indonesian,INDO ,100C,Advanced Indonesian
Iranian ,,1C,Elementary Persian
Iranian ,,20C,Accelerated Elementary Persian
Iranian ,,102C,Intermediate Persian
Iranian ,,M105C,Bahá'í Faith in Iran: 20th Century Iran and the Bahá'ís
Iranian ,,M110C,Iranian Civilization: History of Early Sasanian Empire--From Ardashir I to Rise of Peroz (circa 224-459 CE)
Iranian ,,131,Introduction to Judeo-Persian: Literature and Culture
Iranian ,,141,Persian Analytical Prose
Iranian ,,150A,Survey of Persian Literature in English
Iranian ,,187,Variable Topics in Iranian Studies: Lecture 1  
Iranian ,,M230B,Old Iranian
Iranian ,,250,Seminar: Classcial Persian Literature
Iranian ,,596,Directed Individual Study
Iranian ,,597,Examination Preparation
Iranian ,,599,PhD Dissertation Research and Preparation
Italian ,,1,Elementary Italian--Beginning
Italian ,,2,Elementary Italian--Continued
Italian ,,3,Elementary Italian--Continued
Italian ,,4,Intermediate Italian
Italian ,,5,Intermediate Italian
Italian ,,6,Intermediate Italian
Italian ,,98T,"Border(ed) Identities: Between Italy, Austria, Slovenia, and Croatia"
Italian ,,102B,Italian Cultural Experience in English: Lecture 1  
Italian ,,116A,Italian Renaissance: Renewal of Art and Thought
Italian ,,121,Literature and Film
Italian ,,150,Modern Fiction in Translation: Lecture 1  
Italian ,,260C,Studies in Italian Cinema: Lecture 1  
Italian ,,375,Teaching Apprentice Practicum
Italian ,,596,Directed Individual Studies
Italian ,,597,Preparation for MA Comprehensive Examination or PhD Qualifying Examinations
Italian ,,599,PhD Research and Writing
Japanese,JAPAN ,3,Elementary Modern Japanese
Japanese,JAPAN ,6,Intermediate Modern Japanese
Japanese,JAPAN ,50,Japanese Civilization
Japanese,JAPAN ,100C,Advanced Modern Japanese
Japanese,JAPAN ,101C,Fourth-Year Japanese: Advanced Reading II
Japanese,JAPAN ,103B,Fourth-Year Japanese: Advanced Speaking II
Japanese,JAPAN ,C159,Variable Topics in Culture and Society in Japan: Japanese Popular Culture
Japanese,JAPAN ,191A,"Variable Topics Research Seminars: Classical Japan: Performing Japan! Bodies Past and Present, On and Off Stage"
Japanese,JAPAN ,191B,Variable Topics Research Seminars: Modern Japan: Seminar 1  
Japanese,JAPAN ,241B,Seminar: Japanese Classics
Jewish Studies,JEWISH ,M82,Music and Holocaust: Individual Experience
Korean,KOREA ,3,Elementary Modern Korean
Korean,KOREA ,3A,Elementary Korean for Korean-Heritage Speakers
Korean,KOREA ,6,Intermediate Modern Korean
Korean,KOREA ,M60,Introduction to Korean Religions
Korean,KOREA ,75,Introduction to Korean Literature and Culture
Korean,KOREA ,100C,Advanced Modern Korean
Korean,KOREA ,101C,Advanced Readings in Modern Korean
Korean,KOREA ,103A,Readings in Sino-Korean Characters
Korean,KOREA ,124,Topics in Korean Language and Culture
Korean,KOREA ,CM160,Korean Buddhism
Korean,KOREA ,180B,"History of Korea, 1260 through 1876"
Korean,KOREA ,184B,Women in History: Modern Korea
Korean,KOREA ,191A,Variable Topics Research Seminars: Premodern or Early Modern Korea: Seminar 1  
Korean,KOREA ,191B,Variable Topics Research Seminars: Contemporary Korean History: Seminar 1  
Korean,KOREA ,203,Variable Topics in Korean Culture: Seminar 1  
Korean,KOREA ,215,Korean Literary History
Korean,KOREA ,235A,Seminar: Topics in Modern Korean Literature
Korean,KOREA ,243,Translation Workshop: Premodern Korean Texts
"Lesbian, Gay, Bisexual, Transgender, and Queer Studies",LGBTQS ,M101D,Studies in Queer Literatures and Cultures: Queer American Autobiography
"Lesbian, Gay, Bisexual, Transgender, and Queer Studies",LGBTQS ,M107B,Studies in Gender and Sexuality: Renaissance Woman and Her Daughters
"Lesbian, Gay, Bisexual, Transgender, and Queer Studies",LGBTQS ,M114,"Introduction to Lesbian, Gay, Bisexual, Transgender, and Queer Studies"
"Lesbian, Gay, Bisexual, Transgender, and Queer Studies",LGBTQS ,M126,Feminist and Queer Theory: Queer of Color Feminisms
"Lesbian, Gay, Bisexual, Transgender, and Queer Studies",LGBTQS ,M136,Censored! Art on Trial
"Lesbian, Gay, Bisexual, Transgender, and Queer Studies",LGBTQS ,180XP,"Lesbian, Gay, Bisexual, and Transgender Institutions and Organizations"
"Lesbian, Gay, Bisexual, Transgender, and Queer Studies",LGBTQS ,181,Variable Topics in Queer Diversities: Lecture 1  
Latin ,,2,Elementary Latin
Latin ,,3,Elementary Latin
Latin ,,102,Terence
Latin ,,119A,Readings in Roman Prose
Latin ,,210,Advanced Latin Prose Composition
Latin ,,240,History of Latin Language
Latin ,,596,Directed Individual Study or Research
Latin ,,597,Study for MA Comprehensive Examination or PhD Qualifying Examinations
Latin ,,599,Research for PhD Dissertation
Linguistics,LING ,1,Introduction to Study of Language
Linguistics,LING ,20,Introduction to Linguistic Analysis
Linguistics,LING ,102,Introduction to Applied Phonetics
Linguistics,LING ,119A,Applied Phonology
Linguistics,LING ,120A,Phonology I
Linguistics,LING ,120B,Syntax I
Linguistics,LING ,120C,Semantics I
Linguistics,LING ,127,Syntactic Typology and Universals
Linguistics,LING ,132,Language Processing
Linguistics,LING ,M141,Current Methods of Language Teaching
Linguistics,LING ,144,Fundamentals of Translation and Interpreting
Linguistics,LING ,M146,Language in Culture
Linguistics,LING ,M150,Introduction to Indo-European Linguistics
Linguistics,LING ,165B,Syntax II
Linguistics,LING ,165C,Semantics II
Linguistics,LING ,185A,Computational Linguistics I
Linguistics,LING ,185B,Computational Linguistics II
Linguistics,LING ,191A,Variable Topics Research Seminars: Linguistics: Structure of Russian
Linguistics,LING ,209A,Computational Linguistics I
Linguistics,LING ,210B,Field Methods II
Linguistics,LING ,211,Intonation
Linguistics,LING ,216,Syntactic Theory III
Linguistics,LING ,239,Research Design and Statistical Methods
Linguistics,LING ,251A,Topics in Phonetics and Phonology
Linguistics,LING ,251B,Topics in Phonetics and Phonology
Law ,,115,Business Law for Non Lawyers
Law ,,116,The American Dispute Resolution System
Law ,,119,Master of Legal Studies Capstone
Law ,,201,Constitutional Law II
Law ,,202,Constitutional Criminal Procedure: Criminal Procedure: Investigations
Law ,,202,Constitutional Criminal Procedure: Criminal Procedure: Investigations
Law ,,205,Wills and Trusts
Law ,,211,Evidence
Law ,,212,Federal Courts
Law ,,214,Civil Rights
Law ,,217,Introduction to Legal Philosophy
Law ,,220,Introduction to Federal Income Tax
Law ,,224,U.S. International Taxation
Law ,,230,Business Associations
Law ,,231,Advanced Corporation Law
Law ,,236,Securities Regulation
Law ,,244,Television Law: Lecture 1  
Law ,,250,Secured Transactions
Law ,,251,Business Strategy and Corporate Governance
Law ,,266,Critical Race Theory
Law ,,267,Federal Indian Law I
Law ,,269,National Security Law
Law ,,270,Public International Law
Law ,,271,International Business Transactions
Law ,,273,International Human Rights Law
Management,MGMT ,1A,Principles of Accounting
Management,MGMT ,1B,Principles of Accounting
Management,MGMT ,108,Business Law
Management,MGMT ,120A,Intermediate Financial Accounting I
Management,MGMT ,120B,Intermediate Financial Accounting II
Management,MGMT ,122,Management Accounting
Management,MGMT ,123,Auditing
Management,MGMT ,124,Advanced Accounting
Management,MGMT ,126,Financial Statement Analysis
Management,MGMT ,127A,Tax Principles and Policy
Management,MGMT ,127B,Corporate and Partnership Taxation
Management,MGMT ,128,Special Topics in Accounting: Lecture 1  
Management,MGMT ,142B,"Communication Technology, Programming, and Accounting"
Management,MGMT ,160,Entrepreneurship and Venture Initiation
Management,MGMT ,161,Business Plan Development
Management,MGMT ,163,Entrepreneurship and New Product Development
Management,MGMT ,164,Entrepreneurial Finance and Accounting
Management,MGMT ,167,Social Entrepreneurship
Management,MGMT ,168,Personal Financial Health: Theory and Practice
Management,MGMT ,169,Entrepreneurial Leadership and Practical Experience
Management,MGMT ,170,Real Estate Finance and Investments
Management,MGMT ,188SC,Individual Studies for USIE Facilitators
Management,MGMT ,201B,Econometrics and Business Forecasting
Management,MGMT ,209,Managing Complex Business Deals
Management,MGMT ,215A,Negotiations Analysis
Medicine,MED ,19,"UCLA Centennial Initiative: Breathe Well--Tobacco-Free Campus, Medicine, Nursing, and Public Health"
Medicine,MED ,188SC,Individual Studies for USIE Facilitators
Medicine,MED ,M260B,Methodology in Clinical Research II
Management-Executive MBA,MGMTEX ,405,Economic Analysis for Managers
Management-Executive MBA,MGMTEX ,408,Financial Policy for Managers
Management-Executive MBA,MGMTEX ,414C,Leadership Foundations II
Management-Executive MBA,MGMTEX ,421,International Business Residential: Seminar 1  
Management-Executive MBA,MGMTEX ,421,International Business Residential: Seminar 2  
Management-Executive MBA,MGMTEX ,421,International Business Residential: Seminar 3  
Management-Executive MBA,MGMTEX ,422,Leadership in Practice
Management-Executive MBA,MGMTEX ,439,Selected Topics in Management: Seminar 3  
Management-Executive MBA,MGMTEX ,439,Selected Topics in Management: Seminar 4  
Management-Executive MBA,MGMTEX ,440,Selected Topics in Management: Seminar 2  
"Microbiology, Immunology, and Molecular Genetics",MIMG ,100L,Microbiology Laboratory for Professional Schools
"Microbiology, Immunology, and Molecular Genetics",MIMG ,103AL,Research Immersion Laboratory in Virology
"Microbiology, Immunology, and Molecular Genetics",MIMG ,103BL,Advanced Research Analysis in Virology
"Microbiology, Immunology, and Molecular Genetics",MIMG ,109BL,Advanced Research Analysis in Microbiology
"Microbiology, Immunology, and Molecular Genetics",MIMG ,C122,Mouse Molecular Genetics
"Microbiology, Immunology, and Molecular Genetics",MIMG ,132,Cell Biology of Nucleus
"Microbiology, Immunology, and Molecular Genetics",MIMG ,C134,Ethics and Accountability in Biomedical Research
"Microbiology, Immunology, and Molecular Genetics",MIMG ,180A,Scientific Analysis and Communication I
"Microbiology, Immunology, and Molecular Genetics",MIMG ,180B,Scientific Analysis and Communication II
"Microbiology, Immunology, and Molecular Genetics",MIMG ,C185A,Immunology
"Microbiology, Immunology, and Molecular Genetics",MIMG ,C185B,Advanced Immunology and Applications
"Microbiology, Immunology, and Molecular Genetics",MIMG ,192,"Undergraduate Practicum in Microbiology, Immunology, and Molecular Genetics"
"Microbiology, Immunology, and Molecular Genetics",MIMG ,194A,"Research Group Seminars: Microbiology, Immunology, and Molecular Genetics"
"Microbiology, Immunology, and Molecular Genetics",MIMG ,C222,Mouse Molecular Genetics
"Microbiology, Immunology, and Molecular Genetics",MIMG ,C234,Ethics and Accountability in Biomedical Research
"Microbiology, Immunology, and Molecular Genetics",MIMG ,262C,Seminar: Current Topics in Immunobiology of Cancer
"Microbiology, Immunology, and Molecular Genetics",MIMG ,C285,Immunology
"Microbiology, Immunology, and Molecular Genetics",MIMG ,C285B,Advanced Immunology and Applications
"Microbiology, Immunology, and Molecular Genetics",MIMG ,296,"Seminar: Research Topics in Microbiology, Immunology, and Molecular Genetics"
"Microbiology, Immunology, and Molecular Genetics",MIMG ,375,Teaching Apprentice Practicum
"Microbiology, Immunology, and Molecular Genetics",MIMG ,596,Directed Individual Research
"Microbiology, Immunology, and Molecular Genetics",MIMG ,598,Research for MS Thesis
"Microbiology, Immunology, and Molecular Genetics",MIMG ,599,Research for PhD Dissertation
Management-Full-Time MBA,MGMTFT ,409,Organizational Behavior
Management-Full-Time MBA,MGMTFT ,421A,Communication Development for Leaders
Management-Full-Time MBA,MGMTFT ,421B,Communication Development for Leaders II
Management-Full-Time MBA,MGMTFT ,423C,Applied Management Research: Two-Quarter Plan
Management-Full-Time MBA,MGMTFT ,426,Fieldwork in Organizations
Management-Fully Employed MBA,MGMTFE ,408,Foundations of Finance
Management-Fully Employed MBA,MGMTFE ,411,Marketing Management
"Molecular, Cellular, and Integrative Physiology",MC&IP ,214,Research Grant Writing in Biomedical Sciences
"Molecular, Cellular, and Integrative Physiology",MC&IP ,251,Integrative Genomics for Studying Complex Diseases
"Molecular, Cellular, and Integrative Physiology",MC&IP ,296,Research Seminar
"Molecular, Cellular, and Integrative Physiology",MC&IP ,596,Directed Individual Study or Research
"Molecular, Cellular, and Integrative Physiology",MC&IP ,597,Preparation for PhD Qualifying Examinations
"Molecular, Cellular, and Integrative Physiology",MC&IP ,599,Research for PhD Dissertation
Mathematics,MATH ,3C,Ordinary Differential Equations with Linear Algebra for Life Sciences Students
Mathematics,MATH ,11N,Gateway to Mathematics: Number Theory
Mathematics,MATH ,31B,Integration and Infinite Series
Mathematics,MATH ,32A,Calculus of Several Variables
Mathematics,MATH ,32B,Calculus of Several Variables
Mathematics,MATH ,33A,Linear Algebra and Applications
Mathematics,MATH ,33B,Differential Equations
Mathematics,MATH ,42,"Introduction to Data-Driven Mathematical Modeling: Life, Universe, and Everything"
Mathematics,MATH ,61,Introduction to Discrete Structures
Mathematics,MATH ,70,Introduction to Probability
Mathematics,MATH ,98XB,PEERS Collaborative Learning Workshops for Physical Sciences and Engineering Majors
Mathematics,MATH ,105C,Mathematics and Pedagogy for Teaching Secondary School Mathematics
Mathematics,MATH ,110B,Algebra
Mathematics,MATH ,110C,Algebra
Mathematics,MATH ,111,Theory of Numbers
Mathematics,MATH ,114L,Mathematical Logic
Mathematics,MATH ,115A,Linear Algebra
Mathematics,MATH ,115AH,Linear Algebra (Honors)
Mathematics,MATH ,115B,Linear Algebra
Mathematics,MATH ,116,Mathematical Cryptology
Mathematics,MATH ,120A,Differential Geometry
Mathematics,MATH ,121,Introduction to Topology
Mathematics,MATH ,131A,Analysis
Mathematics,MATH ,131B,Analysis
Mathematics,MATH ,131BH,Analysis (Honors)
Music,MUSC ,M6C,Introduction to Musicianship
Music,MUSC ,19,Fiat Lux Freshman Seminars: Seminar 2  
Music,MUSC ,19,Great Composers of UCLA
Music,MUSC ,20C,Music Theory III
Music,MUSC ,50,Alexander Technique
Music,MUSC ,60A,Instrumental Studio: Flute
Music,MUSC ,60B,Instrumental Studio: Oboe
Music,MUSC ,60C,Instrumental Studio: Bassoon
Music,MUSC ,60D,Instrumental Studio: Clarinet
Music,MUSC ,60E,Instrumental Studio: Saxophone
Music,MUSC ,60F,Instrumental Studio: French Horn
Music,MUSC ,60G,Instrumental Studio: Trumpet
Music,MUSC ,60H,Instrumental Studio: Trombone
Music,MUSC ,60I,Instrumental Studio: Tuba/Euphonium
Music,MUSC ,60J,Instrumental Studio: Percussion
Music,MUSC ,60K,Instrumental Studio: Violin
Music,MUSC ,60L,Instrumental Studio: Viola
Music,MUSC ,60M,Instrumental Studio: Cello
Music,MUSC ,60N,Instrumental Studio: String Bass
Music,MUSC ,60O,Instrumental Studio: Harp
Music,MUSC ,60P,Instrumental Studio: Guitar
Music,MUSC ,60S,Instrumental Studio: Piano
Music,MUSC ,60T,Instrumental Studio: Organ
Music,MUSC ,61A,Voice Studio
Music,MUSC ,61B,Voice Coaching
Musicology,MUSCLG ,M6C,Introduction to Musicianship
Musicology,MUSCLG ,7,Film and Music
Musicology,MUSCLG ,12W,Writing about Music
Musicology,MUSCLG ,13,"Punk: Music, History, Subculture"
Musicology,MUSCLG ,M82,Music and Holocaust: Individual Experience
Musicology,MUSCLG ,CM90T,Early Music Ensemble
Musicology,MUSCLG ,101,Issues and Methods in Musicology
Musicology,MUSCLG ,125C,History of Western Music: Modern and Postmodern Era
Musicology,MUSCLG ,128,History of Popular Music
Musicology,MUSCLG ,187C,Capstone Seminar III: Presenting the Project
Musicology,MUSCLG ,191G,Junior Variable Topics Research Seminars: History of Music--Other Topics: Seminar 1  
Musicology,MUSCLG ,200C,"Music Aesthetics, Analysis, and Philosophy"
Musicology,MUSCLG ,M201,Repertory and Analysis
Musicology,MUSCLG ,245,Seminar: Analytical/Repertoire Topics: Software Studies & Music
Musicology,MUSCLG ,255,Seminar: Historical Topics: Claudio Monteverdi (1567-1643)
Musicology,MUSCLG ,256,Audit Seminar: Historical Topics
Musicology,MUSCLG ,299,Dissertation Research Colloquium
Musicology,MUSCLG ,375,Teaching Apprentice Practicum
Musicology,MUSCLG ,C490T,Early Music Ensemble
Musicology,MUSCLG ,495,Introductory Practicum for Teaching Apprentices in Musicology
Musicology,MUSCLG ,596,Directed Individual Studies in Musicology
Musicology,MUSCLG ,597,Preparation for MA Comprehensive Examination or PhD Qualifying Examinations
Musicology,MUSCLG ,599,Guidance of PhD Dissertation
Nursing ,,13,Introduction to Human Anatomy
Nursing ,,54A,Pathophysiology I
Nursing ,,160,Secondary Prevention
Nursing ,,162B,Tertiary Prevention and Care of Medical-Surgical Patients and Families
Nursing ,,163,Nursing Care of Geriatric Patients and Families
Nursing ,,169,Clinical Internship: Integration
Nursing ,,171,Public Health Nursing
Nursing ,,173W,Introduction to Nursing Research and Writing II
Nursing ,,188,Special Topics in Nursing
Nursing ,,204,Research Design and Critique
Nursing ,,205C,Advanced Qualitative Research: Grounded Theory Methodology II
Nursing ,,206B,Nursing Theory Development
Nursing ,,207,Quantitative Research Designs of Clinical Phenomena
Nursing ,,214,Seminar: Advanced Concepts in Oncology Nursing
Nursing ,,216B,Adult/Gerontology Concepts for Advanced Practice Registered Nurses in Acute Care II
Nursing ,,225B,Advanced Pharmacology II
Nursing ,,236,Pediatric Primary Care for Family Nurse Practitioners
Nursing ,,238A,Assessment and Management in Pediatric Primary Care
Nursing ,,238B,Assessment and Management in Pediatric Chronic Care
Nursing ,,239B,Adult/Gerontology Primary Healthcare for Advanced Practice Registered Nurses II
Nursing ,,245,Theoretical Foundations of Clinical Nurse Specialist Practice
Nursing ,,249,Meeting Health-Related Needs in Underserved Populations
Nursing ,,260,Secondary Prevention
Nursing ,,267,Health Care Policy
Nursing ,,269,Quality Improvement and Population-Based Quality of Practice
Pathology and Laboratory Medicine,PATH ,M272,Stem Cell Biology and Regenerative Medicine
Pathology and Laboratory Medicine,PATH ,294,Basic Concepts in Oncology
Pathology and Laboratory Medicine,PATH ,296,Research Topics in Pathology
Pathology and Laboratory Medicine,PATH ,596,Directed Individual Study or Research
Pathology and Laboratory Medicine,PATH ,597,Preparation for Qualifying Examinations
Pathology and Laboratory Medicine,PATH ,599,Preparation of PhD Dissertation
Philosophy,PHILOS ,6,Introduction to Political Philosophy
Philosophy,PHILOS ,8,Introduction to Philosophy of Science
Philosophy,PHILOS ,9,Principles of Critical Reasoning
Philosophy,PHILOS ,31,"Logic, First Course"
Philosophy,PHILOS ,100C,"History of Modern Philosophy, 1650 to 1800"
Philosophy,PHILOS ,104,Topics in Islamic Philosophy: Lecture 1  
Philosophy,PHILOS ,M118B,Kierkegaard and Philosophy of Religion
Philosophy,PHILOS ,C119,Topics in History of Philosophy: Relationship of Mind and Body in Early Modern Philosophy
Philosophy,PHILOS ,C127C,Philosophy of Language: Strawson on Russell and Russell on Strawson
Philosophy,PHILOS ,132,"Logic, Second Course"
Philosophy,PHILOS ,133,Topics in Logic and Semantics: Gödel's Incompleteness Theorems
Philosophy,PHILOS ,153A,Topics in Ethical Theory: Normative Ethics: Lecture 1  
Philosophy,PHILOS ,C156,"Topics in Political Philosophy: Freedom, Property, and Class"
Philosophy,PHILOS ,161,Topics in Aesthetic Theory: Poetry
Philosophy,PHILOS ,166,Philosophy of Law: Lecture 1  
Philosophy,PHILOS ,170,Philosophy of Mind: Lecture 1  
Philosophy,PHILOS ,172,Philosophy of Language and Communication
Philosophy,PHILOS ,173,Philosophy of Medicine
Philosophy,PHILOS ,174,Topics in Theory of Knowledge: Philosophy of Statistics
Philosophy,PHILOS ,191,Variable Topics Research Seminars: Philosophy: The Ethics of Borders
Philosophy,PHILOS ,200C,Seminar for First-Year Graduate Students
Philosophy,PHILOS ,203,Seminar: History of Ancient Philosophy: Seminar 1  
Philosophy,PHILOS ,232,Philosophy of Science: Seminar 1  
Philosophy,PHILOS ,248,Problems in Moral Philosophy: Seminar 1  
Philosophy,PHILOS ,254B,Legal Theory Workshop
Physics ,,1A,Physics for Scientists and Engineers: Mechanics
Physics ,,1B,"Physics for Scientists and Engineers: Oscillations, Waves, Electric and Magnetic Fields"
Physics ,,1C,"Physics for Scientists and Engineers: Electrodynamics, Optics, and Special Relativity"
Physics ,,1CH,"Physics for Scientists and Engineers: Electrodynamics, Optics, and Special Relativity (Honors)"
Physics ,,4AL,Physics Laboratory for Scientists and Engineers: Mechanics
Physics ,,4BL,Physics Laboratory for Scientists and Engineers: Electricity and Magnetism
Physics ,,5A,Physics for Life Sciences Majors: Mechanics and Energy
Physics ,,5B,"Physics for Life Sciences Majors: Thermodynamics, Fluids, Waves, Light, and Optics"
Physics ,,5C,"Physics for Life Sciences Majors: Electricity, Magnetism, and Modern Physics"
Physics ,,10,Physics
Physics ,,18L,Modern Physics Laboratory
Physics ,,98XA,PEERS Collaborative Learning Workshops for Life Sciences Majors
Physics ,,105A,Analytic Mechanics
Physics ,,105B,Analytic Mechanics
Physics ,,110A,Electricity and Magnetism
Physics ,,110B,Electricity and Magnetism
Physics ,,112,Thermodynamics
Physics ,,115A,Quantum Mechanics
Physics ,,115C,Quantum Mechanics
Physics ,,117,Electronics for Physics Measurement
Physics ,,123,Atomic Structure
Physics ,,127,General Relativity
Physics ,,128,Cosmology and Particle Astrophysics
Physics ,,131,Mathematical Methods of Physics
Physics ,,180D,Acoustics Laboratory
Physics and Biology in Medicine,PBMED ,200B,Nuclear Medicine Instrumentation
Physics and Biology in Medicine,PBMED ,202B,Applications of Medical Physics to Clinical Problems: Mammography
Physics and Biology in Medicine,PBMED ,202C,Applications of Medical Physics to Clinical Problems: Radiation Therapy
Physics and Biology in Medicine,PBMED ,203,Physics of Radiation Therapy
Physics and Biology in Medicine,PBMED ,207,Monte Carlo Methods with Applications for Radiological Sciences
Physics and Biology in Medicine,PBMED ,223,Seminar: Radiation Biology
Physics and Biology in Medicine,PBMED ,225,Contrast Mechanisms and Quantification in Magnetic Resonance Imaging
Physics and Biology in Medicine,PBMED ,227,Human Disease: Current and Future Role of Biomedical Physics
Physics and Biology in Medicine,PBMED ,M229,Advanced Topics in Magnetic Resonance Imaging
Physics and Biology in Medicine,PBMED ,M248,Introduction to Biological Imaging
Physics and Biology in Medicine,PBMED ,260C,Seminar: Biomedical Physics
Physics and Biology in Medicine,PBMED ,596,Research in Biomedical Physics
Physics and Biology in Medicine,PBMED ,597,Preparation for PhD Qualifying Examinations
Physics and Biology in Medicine,PBMED ,598,Research for and Preparation of MS Thesis
Physics and Biology in Medicine,PBMED ,599,Research for PhD Dissertation
Psychology,PSYCH ,10,Introductory Psychology
Psychology,PSYCH ,15,Introductory Psychobiology
Psychology,PSYCH ,20A,MATLAB Programming for Behavioral Sciences
Psychology,PSYCH ,20B,Advanced Topics in MATLAB Programming for Behavioral Sciences
Psychology,PSYCH ,85,Introduction to Cognitive Science
